AccNo,Name,ID,Contact,Email,Balance,Type
ACC-BR01-17244,KING FASO,0123456789001,,,23152.5,1
ACC-BR01-27709,MISHY MOYO,0123456789002,,,1632.62,1
ACC-BR01-19037,KING FASO,0123456789001,0786120245,BRANDONS19@GMAIL.COM,17000,1
ACC-BR01-37507,MISHY MOYO,0123456789002,0986545675,BRSHDH10@GMAIL.COM,3500,1
ACC-BR01-27379,FAHNS,0123456789001,108548948984,`1	 '/,0,0
ACC-BR01-20374,,,,,0,0
ACC-BR01-10695,,,,,0,0
ACC-BR01-38978,,,,,0,0
ACC-BR01-13794,,,,,0,0
ACC-BR01-19656,,,,,0,0
ACC-BR01-13195,,,,,0,0
ACC-BR01-11573,,,,,0,0
ACC-BR01-10711,,,,,0,0
ACC-BR01-29938,,,,,0,0
ACC-BR01-34834,,,,,0,0
ACC-BR01-11078,,,,,0,0
ACC-BR01-39520,,,,,0,0
ACC-BR01-23837,,,,,0,0
ACC-BR01-12708,,,,,0,0
ACC-BR01-41992,,,,,0,0
ACC-BR01-33441,,,,,0,0
ACC-BR01-40580,,,,,0,0
ACC-BR01-32864,,,,,0,0
ACC-BR01-15743,,,,,0,0
ACC-BR01-13777,,,,,0,0
ACC-BR01-35608,,,,,0,0
ACC-BR01-25268,,,,,0,0
ACC-BR01-20135,,,,,0,0
ACC-BR01-24506,,,,,0,0
ACC-BR01-12797,,,,,0,0
ACC-BR01-36328,,,,,0,0
ACC-BR01-19437,,,,,0,0
ACC-BR01-21821,,,,,0,0
ACC-BR01-13323,,,,,0,0
ACC-BR01-30356,,,,,0,0
ACC-BR01-33715,,,,,0,0
ACC-BR01-13516,,,,,0,0
ACC-BR01-26701,,,,,0,0
ACC-BR01-39205,,,,,0,0
ACC-BR01-10960,,,,,0,0
ACC-BR01-22253,,,,,0,0
ACC-BR01-20613,,,,,0,0
ACC-BR01-37469,,,,,0,0
ACC-BR01-14606,,,,,0,0
ACC-BR01-36542,,,,,0,0
ACC-BR01-23974,,,,,0,0
ACC-BR01-34767,,,,,0,0
ACC-BR01-38314,,,,,0,0
ACC-BR01-14955,,,,,0,0
ACC-BR01-33881,,,,,0,0
ACC-BR01-24679,,,,,0,0
ACC-BR01-37848,,,,,0,0
ACC-BR01-41914,,,,,0,0
ACC-BR01-41336,,,,,0,0
ACC-BR01-19680,,,,,0,0
ACC-BR01-16188,,,,,0,0
ACC-BR01-12416,,,,,0,0
ACC-BR01-11926,,,,,0,0
ACC-BR01-41036,,,,,0,0
ACC-BR01-30834,,,,,0,0
ACC-BR01-25384,,,,,0,0
ACC-BR01-18037,,,,,0,0
ACC-BR01-30863,,,,,0,0
ACC-BR01-24967,,,,,0,0
ACC-BR01-11059,,,,,0,0
ACC-BR01-31119,,,,,0,0
ACC-BR01-14052,,,,,0,0
ACC-BR01-39549,,,,,0,0
ACC-BR01-34227,,,,,0,0
ACC-BR01-29326,,,,,0,0
ACC-BR01-18519,,,,,0,0
ACC-BR01-19915,,,,,0,0
ACC-BR01-28112,,,,,0,0
ACC-BR01-27348,,,,,0,0
ACC-BR01-15946,,,,,0,0
ACC-BR01-36059,,,,,0,0
ACC-BR01-40259,,,,,0,0
ACC-BR01-28403,,,,,0,0
ACC-BR01-14064,,,,,0,0
ACC-BR01-31883,,,,,0,0
ACC-BR01-40157,,,,,0,0
ACC-BR01-29493,,,,,0,0
ACC-BR01-38357,,,,,0,0
ACC-BR01-20909,,,,,0,0
ACC-BR01-42241,,,,,0,0
ACC-BR01-14358,,,,,0,0
ACC-BR01-35923,,,,,0,0
ACC-BR01-40326,,,,,0,0
ACC-BR01-20006,,,,,0,0
ACC-BR01-32453,,,,,0,0
ACC-BR01-29214,,,,,0,0
ACC-BR01-27218,,,,,0,0
ACC-BR01-37206,,,,,0,0
ACC-BR01-36263,,,,,0,0
ACC-BR01-28090,,,,,0,0
ACC-BR01-10174,,,,,0,0
ACC-BR01-39089,,,,,0,0
ACC-BR01-34004,,,,,0,0
ACC-BR01-27904,,,,,0,0
ACC-BR01-26477,,,,,0,0
ACC-BR01-24555,,,,,0,0
ACC-BR01-33432,,,,,0,0
ACC-BR01-28060,,,,,0,0
ACC-BR01-26996,,,,,0,0
ACC-BR01-42185,,,,,0,0
ACC-BR01-38899,,,,,0,0
ACC-BR01-38290,,,,,0,0
ACC-BR01-30942,,,,,0,0
ACC-BR01-10152,,,,,0,0
ACC-BR01-36122,,,,,0,0
ACC-BR01-39860,,,,,0,0
ACC-BR01-38953,,,,,0,0
ACC-BR01-15351,,,,,0,0
ACC-BR01-30195,,,,,0,0
ACC-BR01-32813,,,,,0,0
ACC-BR01-32199,,,,,0,0
